Name	TrueSA	RandomAssignment	BETSA	LCD	GeoSA	MaxLoad	MaxLoad_Pressure	MaxLoadArea	MaxError	Set	RemStat	cr_0	cr_1	cr_2	cr_3	cr_4	cr_5	cr_6	cr_0-cr_0	cr_0-cr_1	cr_0-cr_2	cr_0-cr_3	cr_0-cr_4	cr_0-cr_5	cr_0-cr_6	cr_1-cr_1	cr_1-cr_2	cr_1-cr_3	cr_1-cr_4	cr_1-cr_5	cr_1-cr_6	cr_2-cr_2	cr_2-cr_3	cr_2-cr_4	cr_2-cr_5	cr_2-cr_6	cr_3-cr_3	cr_3-cr_4	cr_3-cr_5	cr_3-cr_6	cr_4-cr_4	cr_4-cr_5	cr_4-cr_6	cr_5-cr_5	cr_5-cr_6	cr_6-cr_6	FittedValues	FitError	BETError
FORTUD	1795.274	0.08444246594279302	2152.4384670000004	17.38	1774.5179999999998	27.3388037484	100000.0	2337.80672165468	30.220051181863063	Training	Retained	0.0	0.4055101989662645	0.3226424620750153	0.1342647835961191	0.0671829455030598	0.047770806371312334	0.11451341108135094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16599815343149543	0.15399572561562996	0.11720672779229219	0.09413691433018417	0.10934783884559421	0.07602839557016025	0.10943298144415953	0.05592601327582477	0.04198479889642599	0.0515824663746489	0.08753286108888932	0.024362715537712725	0.01603501197184657	0.011238229302066789	0.04344976418087353	0.006328483920243158	0.004436183744428003	0.019987591394943688	0.00310856120476039	0.019650349178580884	0.01682400774411399	1411.877497657507	-21.355876726477007	19.89470504223871
GAZZIS04	2366.889	0.27663621686854745	2505.2693480000007	10.96	2488.92	31.833364276599998	80000.0	2722.147379366329	15.00950738992531	Training	Retained	0.0	0.19690690868049748	0.32089248203770654	0.3296860842872836	0.17274670181031812	0.10117343357380389	0.20042517698760762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039795394636637144	0.07499072164858422	0.1261859885192582	0.10542160200432728	0.10366692407993765	0.061134033376072774	0.10829158056917389	0.12304206713070065	0.09683673874648173	0.10045500952077656	0.14421513300814812	0.12073842216618985	0.08271529683837854	0.04892077155462184	0.15990490141902203	0.03398002828595906	0.020098806862864832	0.0765519492316575	0.011888356807708434	0.0635535788131294	0.04603470176903162	2551.07485146169	7.781769718042954	5.846507715401972
GEDSAL	1252.378	0.3840720047052471	1174.397985	5.19	1163.94	14.933278423199999	90000.0	1276.9804778360476	1.964461036208532	Training	Retained	0.0	0.19904355273264604	0.19585423909864888	0.10329004803098213	0.052738049100295066	0.034248931981018776	0.06893859212918108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04064974972339937	0.04734990214597814	0.0468224946613403	0.038139255790893715	0.04100938208840573	0.024600844759347762	0.04220345751109935	0.02785422131918881	0.020986333074799902	0.023847474247269285	0.03481397883875127	0.01571726865545831	0.0105271794158152	0.006818287833507359	0.02265944554750232	0.004228073143987366	0.002738743918436865	0.010605671932341595	0.00177396508363254	0.009642317910969601	0.007101386887029954	1106.0417282827175	-11.684672815817784	-6.2265558002456025
GUPBEZ02	1579.651	0.11183109417684156	2070.067705	23.44	1746.3	28.2675031241	100000.0	2417.2220341492884	53.022536886267176	Training	Retained	0.005102791864054568	0.01527646377542164	0.16616714303721936	0.19173972916491525	0.15734592827857347	0.09706539922216377	0.18579005069762744	2.6038484807861496e-05	0.00012077839401919279	0.0015212336486783047	0.002942534508920349	0.0036740630730807866	0.001999868575300197	0.0011435787590201325	0.000330692808334473	0.0036774321525305273	0.006925410726579529	0.00857027988919842	0.0088391579151458	0.005037036488907361	0.030993761516382168	0.040147781770237326	0.04709304273105196	0.051265158389543944	0.07126261492465016	0.045211262142628515	0.046480585371979424	0.028842275517409907	0.09133832120185019	0.02859755853012819	0.01774733717302102	0.06550654563829636	0.011014140434284383	0.05706087386186312	0.040053671341400233	2314.1452934812896	46.49725119544061	31.04588956674606
HEZKIH	804.76	0.27898441939141283	771.685218	4.52	240.322	9.4136766736	90000.0	804.9860851835525	0.02809349166863752	Training	Retained	0.0	0.2604824352276759	0.20278624745839008	0.080951736209847	0.03767054006079287	0.022235412508174714	0.04332448006692848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06909734247248336	0.06379976924715491	0.050744490331951664	0.03865344071124288	0.03867449531622639	0.0227091654662532	0.04506859592273031	0.02382577560813033	0.016643704511969063	0.017540161184654172	0.025027422022739384	0.010608369372207693	0.00661061287071619	0.003968614520363577	0.012882798916237432	0.0024689295310175584	0.001481947470831572	0.005604053537182139	0.0008894382284806772	0.004720244052124918	0.0033937603395351656	873.9285866822906	8.594933481073943	-4.10989388140564
HOGJIX	2438.165	0.39500437676962186	2406.8848	10.67	2820.53	30.286572755999998	100000.0	2589.877524140174	6.2224059544852	Training	Retained	0.0	0.08766585730465329	0.08333146055074327	0.2521733547546525	0.16537794841613432	0.09654891434196448	0.19005332110126122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00820274295615083	0.009752348743268444	0.044746742843673304	0.04576646595919583	0.04486829082465036	0.02630430450085279	0.00880880175533669	0.0272369947665301	0.025968119736016874	0.0268177309972775	0.03823307459901536	0.0738702951327467	0.062154515599288744	0.03665529926062085	0.11912395826343948	0.03134722518385606	0.01849021912181075	0.07002458827091412	0.010906574195849457	0.057973194694329565	0.04175336936604219	2356.1282957293497	-3.3646904237674753	-1.2829402439949777
HOHMEX	4509.311	0.4610416765514774	4024.277255	18.78417	4974.08	95.93777134	100000.0	8203.869077934614	81.93176469608359	Training	Retained	0.07060507899786762	0.3538846240861001	0.5990541586185281	0.37956283576981786	0.31187857876150066	0.34567052569488554	0.6749286123905921	0.004985077180295128	0.03220525197861037	0.0720436551499946	0.07538537335763476	0.09644170592883357	0.0923753649458335	0.05361813087942672	0.1267135980427241	0.2455388591292113	0.25675757497547347	0.3284528618587139	0.5965975769064106	0.3462151988831958	0.3647290528889514	0.25778044300173225	0.31167678551443384	0.5979972848589522	0.8449679620046019	0.1569038885672287	0.16460364116441462	0.17999542355539558	0.5789806720260898	0.10348346583049278	0.11311428215165827	0.4239850349365936	0.12359775011933918	0.6502677028105505	0.46355746623368227	4588.809049113799	1.7629755214000415	-10.756271745284362
HOMXIR	3966.147	0.04141275074043682	4516.031959	23.3	4376.5	74.935115483	90000.0	6407.881569228489	61.56439913166327	Training	Retained	0.015416436572996281	0.049789578754672444	0.07543895651679283	0.40276737393806533	0.329863196355932	0.22258104033958484	0.5172753806350423	0.0002376665166092173	0.0010444404230723003	0.0022622242495782307	0.017395469559562903	0.022216693370176743	0.013174877365899828	0.009047557872443355	0.0027850816072585004	0.0051998823028535646	0.040068129605600813	0.05111055350873277	0.057482132555937766	0.039501919117828965	0.007393632892654688	0.038645946305794335	0.046379743055918826	0.055110400735241406	0.09236064848425529	0.17533280684349933	0.18359109532699194	0.12414965342102668	0.4726591193866655	0.11521154258798338	0.0779099436091372	0.3455935543300033	0.05268635912286066	0.3280211632899011	0.27671152526621157	4020.063197042856	1.3594099523506278	13.864462386290773
HURGEH	1614.826	0.0071774017988154295	1500.595508	7.86	1720.85	19.035498977	80000.0	1627.771202720815	0.8016469093769036	Training	Retained	0.0	0.0877512859315979	0.12177146080192439	0.14808840363917328	0.09360839612048967	0.05598825829986856	0.11106923023992003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008218184338185662	0.013695048476783142	0.0280956078630092	0.02740459786291359	0.02752447961059418	0.016279660630884134	0.017438848156231816	0.023951779354598357	0.021731924274825707	0.02300960107389516	0.03310457619945108	0.02880658666388965	0.023223929067635797	0.014027553746907515	0.0459803152034919	0.011219708679553707	0.00677822754387987	0.025892329010032376	0.004095011904580931	0.02195529285774591	0.015949454236818757	1582.7735449732895	-1.9848859893704032	-7.073857616857786
ic2017598_si_001	2958.977000000001	0.2476373770134529	3543.379632	14.64	3500.81	49.162478256099995	90000.0	4204.001505626924	42.07618057277644	Training	Retained	0.0022967980557200814	0.009599386069842439	0.02449591699729854	0.11829452640873929	0.2747748411231608	0.15629340579481213	0.31764278983017147	5.275281308759545e-06	3.770983649158166e-05	0.00014181431636237554	0.0008834256640388668	0.0027810641721128086	0.0014016122213344833	0.000846151102625621	0.000153656027615148	0.0004891085949103667	0.0030548229313730416	0.01006843225993691	0.009582470155384389	0.005781424608068807	0.0011833651931093636	0.005005525178380797	0.01570393289343216	0.015737550945717584	0.023114314051751163	0.019678647157140936	0.052202754277352825	0.029968160348589633	0.10025868045414858	0.0812722729903637	0.04669035226957259	0.18202825070931739	0.026823573508188515	0.14677927638543467	0.10882864966133356	3454.2660263865264	16.738522346964	19.75015797689535
ic402614w_si_002	1049.68	0.11144578032255792	1048.9388	8.88	NaN	12.378855543299998	80000.0	1058.5456467608865	0.844604713901991	Training	Retained	0.0	0.4291812214936428	0.26677665486954466	0.1093158299851711	0.0548119152266073	0.034154061919858404	0.06755192656193668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18578146845594057	0.13575235738767177	0.10499679043564848	0.08453794787665565	0.08797075871873206	0.05205445987981396	0.07594468752557486	0.03928993112759468	0.029400927698495706	0.03229090215716523	0.04648375764668995	0.017256999209935946	0.011386072324369558	0.0071281021916097575	0.023351948289235158	0.0045047180602661085	0.002820373606360086	0.010766054553900456	0.0017658698485075888	0.009461243528982057	0.006868301961810555	1124.2007421384808	7.099377156703064	-0.07061199603690292
ic800131r-file003	4472.785	0.4751573821403802	5192.771453	12.5	4723.97	68.8009144617	90000.0	5883.3313178146755	31.53619764452516	Training	Retained	0.0026859137168695883	0.02246660158274998	0.06309428433731375	0.47949821969912254	0.391980264442822	0.23400767355961105	0.4691980194976513	7.214132494468206e-06	8.823810001308561e-05	0.00033881297575938645	0.0035695257314355753	0.004568050298330666	0.0024085149538956552	0.0014349836841094947	0.0006468321052064933	0.0021408672420983516	0.0227645990746353	0.029067529756858022	0.029030988189305926	0.01728758025178488	0.005423889076568984	0.039135728345078655	0.0470686471679161	0.04959509482801724	0.07190021746686395	0.2435221938518822	0.2553960434442491	0.1535069245731518	0.5068637211287152	0.1605507289246514	0.09651071086140357	0.3713322624946987	0.05801645233285714	0.31331074457901686	0.229260689096881	4133.59968477925	-7.583313645094712	16.09705033888283
